place,state,price,auto_accss_idx,pct_no_vehicle,pct_one_or_more_vehicles,transit_accss_idx,walkability_idx,cost_of_living,grocery_cost_idx,transportation_cost_idx,miscellaneous_cost_idx,population,median_age,summer_comfort_index,winter_comfort_index,perc_growth_since_2020,political_left_lean,political_right_lean,chain_ratio,jan_avg_temp,feb_avg_temp,march_avg_temp,april_avg_temp,may_avg_temp,june_avg_temp,july_avg_temp,aug_avg_temp,sept_avg_temp,oct_avg_temp,nov_avg_temp,dec_avg_temp,jan_avg_rain,feb_avg_rain,mar_avg_rain,apr_avg_rain,may_avg_rain,jun_avg_rain,jul_avg_rain,aug_avg_rain,sep_avg_rain,oct_avg_rain,nov_avg_rain,dec_avg_rain,winter_avg_temp,spring_avg_temp,summer_avg_temp,autumn_avg_temp,winter_avg_rain,spring_avg_rain,summer_avg_rain,autumn_avg_rain
Asheville,NC,225.83038461538462,0.5806138419805195,0.0537564446103896,0.9462435553896104,0.1498499409740259,9.38203463227922,105.7,103.1,82.8,111.2,92852,38.6,8.5,6.0,0.09,0.597,0.386,0.3516,36.6,37.6,48.8,51.8,59.4,68.1,71.0,71.5,64.5,58.7,42.8,46.3,3.75,3.69,4.69,3.76,4.03,4.37,4.88,4.89,3.63,3.53,3.11,3.69,40.16666666666666,53.333333333333336,70.2,55.333333333333336,3.71,4.16,4.713333333333334,3.4233333333333333
Austin,TX,436.27313709891274,0.7183233984068965,0.0591874659275862,0.9408125340724136,0.2869523562241379,11.51637931045862,129.4,96.7,109.9,105.9,995484,32.7,3.7,7.9,0.2,0.714,0.264,0.3814,51.4,46.5,62.6,66.7,73.0,81.2,82.0,83.8,80.2,71.8,59.1,62.3,1.99,2.32,2.15,3.28,4.34,3.22,2.09,1.85,3.18,3.38,2.52,2.42,53.4,67.43333333333334,82.33333333333333,70.36666666666666,2.2433333333333336,3.2566666666666664,2.3866666666666667,3.026666666666667
Boston,MA,272.87905405405405,0.7590960823684211,0.3012515130897832,0.6987484869102167,0.4092622001238389,14.936790505668732,153.4,111.4,131.8,157.9,691531,32.0,9.1,4.9,0.11,0.806,0.175,0.2796,31.2,30.1,40.9,49.0,59.2,71.7,70.4,74.6,66.9,57.9,43.2,38.0,3.92,3.5,4.03,3.97,3.37,3.36,3.41,3.62,3.63,3.44,4.04,4.01,33.1,49.70000000000001,72.23333333333333,56.0,3.81,3.790000000000001,3.4633333333333334,3.703333333333333
Cambridge,MA,246.0352422907489,0.5639846451818181,0.1027691587078552,0.8972308412921447,0.160956385047661,12.4585172108376,173.7,115.5,95.7,176.7,119192,30.4,9.2,4.8,0.071,0.715,0.263,0.3277,29.6,27.5,39.4,48.8,59.3,71.1,70.0,73.8,65.7,56.5,41.4,36.2,3.6,3.26,3.9,3.82,3.4,3.51,3.55,3.51,3.66,3.37,4.0,3.85,31.100000000000005,49.16666666666666,71.63333333333333,54.53333333333333,3.5700000000000003,3.7066666666666666,3.523333333333333,3.676666666666667
Chicago,IL,245.9046076313895,0.6362557551131981,0.1690219040781367,0.8309780959218632,0.3108658503809166,13.635528842135988,107.4,97.2,138.5,139.8,2677643,34.1,9.0,4.7,0.007,0.742,0.24,0.3717,28.4,18.9,43.1,50.6,58.8,72.8,73.4,75.6,68.8,59.1,39.4,37.1,1.78,1.46,2.56,3.38,3.73,3.97,3.49,3.47,3.42,2.7,2.44,2.04,28.133333333333336,50.833333333333336,73.93333333333332,55.76666666666667,1.76,3.223333333333333,3.643333333333334,2.853333333333333
Columbus,OH,170.4671163575042,0.7442676151815107,0.091022771507328,0.908977228492672,0.2151696491059752,11.556745584360767,86.4,98.8,90.1,107.5,903852,32.2,8.8,5.1,0.106,0.647,0.334,0.5012,31.5,26.1,45.9,52.4,60.1,72.8,74.1,75.4,67.9,61.4,40.9,41.0,2.89,2.29,3.43,3.62,3.89,3.97,4.05,3.52,2.88,2.34,2.74,2.74,32.86666666666667,52.8,74.1,56.73333333333334,2.64,3.646666666666667,3.846666666666666,2.6533333333333333
Dallas,TX,251.46903460837888,0.7150589669784302,0.0688878860269622,0.9311121139730376,0.1342868717507489,11.899340922704017,101.0,99.1,117.1,107.8,1343266,32.5,3.7,7.5,0.095,0.649,0.333,0.4783,47.5,41.2,60.7,63.3,70.4,80.8,83.3,83.9,79.7,70.6,56.4,60.0,2.16,2.5,2.87,4.07,4.98,3.46,2.34,2.1,2.93,3.5,2.84,2.7,49.56666666666666,64.8,82.66666666666667,68.9,2.4533333333333336,3.973333333333334,2.6333333333333333,3.09
Denver,CO,191.70944410002068,0.6954606224844075,0.0880267833804573,0.9119732166195426,0.3401694865925156,14.462231462307694,127.8,101.9,116.1,152.2,735538,34.4,8.8,5.6,0.174,0.796,0.182,0.3274,33.4,27.2,40.0,45.7,55.9,71.1,75.6,73.7,67.5,53.2,46.1,38.9,0.42,0.47,1.03,1.88,2.48,1.67,1.94,1.65,1.15,1.09,0.68,0.55,33.166666666666664,47.2,73.46666666666665,55.6,0.48,1.7966666666666669,1.7533333333333332,0.9733333333333336
Fort Lauderdale,FL,251.72874493927125,0.6196187268787234,0.0723720329138297,0.9276279670861702,0.0827551834202127,12.445744680714894,118.5,107.6,130.8,107.6,184245,42.2,2.3,9.1,0.059,0.645,0.347,0.3837,66.3,72.6,73.1,75.3,79.4,81.5,82.4,83.7,82.0,79.5,71.4,72.0,2.2,2.06,2.66,3.12,5.33,8.36,6.72,7.31,7.84,6.76,2.76,1.92,70.3,75.93333333333332,82.53333333333335,77.63333333333334,2.06,3.703333333333333,7.463333333333332,5.786666666666666
Fort Worth,TX,181.31264637002343,0.5452433662285472,0.0471431243517417,0.9528568756482584,0.0184061305862361,9.585952987894649,100.2,97.7,113.9,109.2,927720,32.2,4.0,7.6,0.184,0.493,0.491,0.5595,47.3,40.7,60.1,62.5,69.7,80.0,82.9,83.5,79.1,70.2,56.3,59.5,1.85,2.18,2.58,3.78,4.68,3.33,2.28,2.12,2.81,3.27,2.4,2.23,49.16666666666666,64.10000000000001,82.13333333333334,68.53333333333335,2.0866666666666664,3.68,2.5766666666666667,2.8266666666666667
Hawaii,HI,355.6003954700701,0.2876976381219512,0.0466162398373983,0.9533837601626016,0.0,4.9864498644715445,131.9,153.4,97.8,103.0,203340,42.1,8.7,9.0,0.089,0.669,0.306,0.1536,71.21,71.22,71.86,73.13,74.56,75.91,76.97,77.71,77.31,77.07,74.87,72.53,2.428,1.585,2.202,2.266,2.551,2.44,2.872,2.21,2.868,2.092,1.678,1.776,71.65333333333334,73.18333333333334,76.86333333333333,76.41666666666667,1.9296666666666664,2.3396666666666666,2.507333333333333,2.212666666666667
