name,state,cost_of_living,grocery_cost_idx,transportation_cost_idx,miscellaneous_cost_idx,population,median_age,summer_comfort_index,winter_comfort_index,perc_growth_since_2020,political_left_lean,political_right_lean
Asheville,NC,105.7,103.1,82.8,111.2,92852,38.6,8.5,6.0,0.09,0.597,0.386
Austin,TX,129.4,96.7,109.9,105.9,995484,32.7,3.7,7.9,0.2,0.714,0.264
Boston,MA,153.4,111.4,131.8,157.9,691531,32.0,9.1,4.9,0.11,0.806,0.175
Cambridge,MA,173.7,115.5,95.7,176.7,119192,30.4,9.2,4.8,0.071,0.715,0.263
Chicago,IL,107.4,97.2,138.5,139.8,2677643,34.1,9.0,4.7,0.007,0.742,0.24
Columbus,OH,86.4,98.8,90.1,107.5,903852,32.2,8.8,5.1,0.106,0.647,0.334
Dallas,TX,101.0,99.1,117.1,107.8,1343266,32.5,3.7,7.5,0.095,0.649,0.333
Denver,CO,127.8,101.9,116.1,152.2,735538,34.4,8.8,5.6,0.174,0.796,0.182
Fort Lauderdale,FL,118.5,107.6,130.8,107.6,184245,42.2,2.3,9.1,0.059,0.645,0.347
Fort Worth,TX,100.2,97.7,113.9,109.2,927720,32.2,4.0,7.6,0.184,0.493,0.491
Oahu,HI,168.9,138.9,124.4,124.0,963826,37.6,7.8,8.8,0.057,0.625,0.357
Maui,HI,160.2,151.7,88.2,95.3,167902,40.9,8.7,9.1,0.089,0.666,0.311
Kauai,HI,154.6,167.6,88.5,92.9,71851,42.1,8.0,9.1,0.086,0.634,0.346
Hawaii,HI,131.9,153.4,97.8,103.0,203340,42.1,8.7,9.0,0.089,0.669,0.306
Jersey City,NJ,144.4,107.9,153.7,112.9,262664,33.9,8.6,5.6,0.093,0.724,0.262
Las Vegas,NV,111.0,102.3,128.5,109.7,662368,37.4,4.6,7.8,0.072,0.537,0.443
Los Angeles,CA,161.7,104.1,162.1,133.2,9943046,36.0,9.4,8.7,0.036,0.71,0.269
Nashville,TN,103.1,102.0,100.7,99.9,671295,34.1,7.1,6.1,0.113,0.645,0.324
New Orleans,LA,101.6,99.2,132.5,97.7,389476,35.9,2.0,8.2,0.315,0.831,0.15
New York City,NY,166.78,117.04,183.2,137.90000000000003,8253213,36.7,8.6,5.6,0.054,0.721,0.268
Newark,NJ,122.8,103.7,156.1,109.9,282520,33.6,8.6,5.5,0.03,0.771,0.218
Oakland,CA,176.5,111.3,125.8,158.5,424891,36.4,9.7,7.6,0.079,0.798,0.176
Portland,OR,132.4,103.7,129.9,140.1,656751,36.8,9.4,5.6,0.112,0.792,0.179
Rhode Island,RI,117.62,107.04,104.02000000000001,121.17999999999999,1057125,42.8,9.1,5.2,-0.0094,0.5986,0.3806
Salem,OR,102.4,100.3,96.1,103.6,175891,35.2,9.2,5.4,0.078,0.489,0.477
San Diego,CA,154.9,109.6,123.0,152.9,3332427,35.8,9.3,8.4,0.086,0.602,0.375
San Francisco,CA,245.5,116.4,158.2,162.6,866606,38.3,9.2,7.6,0.095,0.853,0.127
San Mateo,CA,250.0,117.4,144.6,161.2,758308,39.6,9.4,7.4,0.084,0.779,0.202
Santa Clara,CA,231.0,116.5,148.0,158.4,1907105,37.0,9.8,7.5,0.099,0.726,0.252
Santa Cruz,CA,186.0,110.4,116.1,155.6,269925,37.3,9.5,7.4,0.064,0.784,0.185
Seattle,WA,167.8,108.7,137.5,150.7,769714,35.7,9.4,5.6,0.156,0.75,0.222
Twin Cities,MN,101.8,100.7,109.05,143.39999999999998,729838,31.8,9.3,3.7,0.075,0.71,0.2665
Washington DC,DC,150.89999999999998,114.1,135.3,168.0,712816,33.9,7.5,5.9,0.151,0.921,0.054
