name,state,metro_status,recreation_status,low_employment,retirement_dest_status
Asheville,NC,1,0,0,0
Austin,TX,1,0,0,0
Boston,MA,1,0,0,0
Cambridge,MA,1,0,0,0
Chicago,IL,1,0,0,0
Columbus,OH,1,0,0,0
Dallas,TX,1,0,0,0
Denver,CO,1,0,0,0
Fort Lauderdale,FL,1,0,0,0
Fort Worth,TX,1,0,0,0
Hawaii,HI,0,1,0,1
Jersey City,NJ,1,0,0,0
Kauai,HI,0,1,0,0
Las Vegas,NV,1,1,0,1
Los Angeles,CA,1,0,0,0
Maui,HI,1,1,0,0
Nashville,TN,1,0,0,0
New Orleans,LA,1,0,0,0
New York City,NY,1,0,0,0
Newark,NJ,1,0,0,0
Oahu,HI,1,1,0,0
Oakland,CA,1,0,0,0
Portland,OR,1,0,0,0
Rhode Island,RI,1,1,0,0
Salem,OR,1,0,0,0
San Diego,CA,1,0,0,0
San Francisco,CA,1,0,0,0
San Mateo,CA,1,0,0,0
Santa Clara,CA,1,0,0,0
Santa Cruz,CA,1,1,0,0
Seattle,WA,1,0,0,0
Twin Cities,MN,1,0,0,1
Washington DC,DC,1,0,0,0
