place,state,jan_avg_rain,feb_avg_rain,mar_avg_rain,apr_avg_rain,may_avg_rain,jun_avg_rain,jul_avg_rain,aug_avg_rain,sep_avg_rain,oct_avg_rain,nov_avg_rain,dec_avg_rain
Asheville,NC,3.75,3.69,4.69,3.76,4.03,4.37,4.88,4.89,3.63,3.53,3.11,3.69
Austin,TX,1.99,2.32,2.15,3.28,4.34,3.22,2.09,1.85,3.18,3.38,2.52,2.42
Boston,MA,3.92,3.5,4.03,3.97,3.37,3.36,3.41,3.62,3.63,3.44,4.04,4.01
Cambridge,MA,3.6,3.26,3.9,3.82,3.4,3.51,3.55,3.51,3.66,3.37,4.0,3.85
Chicago,IL,1.78,1.46,2.56,3.38,3.73,3.97,3.49,3.47,3.42,2.7,2.44,2.04
Columbus,OH,2.89,2.29,3.43,3.62,3.89,3.97,4.05,3.52,2.88,2.34,2.74,2.74
Dallas,TX,2.16,2.5,2.87,4.07,4.98,3.46,2.34,2.1,2.93,3.5,2.84,2.7
Denver,CO,0.42,0.47,1.03,1.88,2.48,1.67,1.94,1.65,1.15,1.09,0.68,0.55
Fort Lauderdale,FL,2.2,2.06,2.66,3.12,5.33,8.36,6.72,7.31,7.84,6.76,2.76,1.92
Fort Worth,TX,1.85,2.18,2.58,3.78,4.68,3.33,2.28,2.12,2.81,3.27,2.4,2.23
Hawaii,HI,2.428,1.585,2.202,2.266,2.551,2.44,2.872,2.21,2.868,2.092,1.678,1.776
Jersey City,NJ,3.48,3.2,4.03,3.92,3.93,3.61,4.38,4.34,3.83,3.39,3.51,3.67
Kauai,HI,3.7,3.2,4.6,2.2,2.0,1.6,1.8,2.1,2.1,3.8,4.4,5.2
Las Vegas,NV,0.96,1.01,0.84,0.42,0.28,0.13,0.69,0.9,0.51,0.49,0.53,0.75
Los Angeles,CA,3.29,3.42,2.81,1.12,0.32,0.06,0.03,0.07,0.21,0.51,1.29,2.43
Maui,HI,3.9400000000000004,2.8600000000000003,3.1399999999999997,2.04,1.6800000000000002,1.04,1.1600000000000001,1.1400000000000001,1.04,1.58,3.4799999999999995,4.08
Nashville,TN,4.65,4.18,5.18,4.21,4.45,3.93,3.83,3.56,3.21,2.83,3.83,4.54
New Orleans,LA,4.95,4.75,5.35,4.78,5.25,5.29,7.08,6.15,5.3,3.11,3.92,4.91
New York City,NY,3.464,3.186,4.022,3.85,3.8600000000000003,3.5479999999999996,4.303999999999999,4.3340000000000005,3.754,3.404,3.4840000000000004,3.646
Newark,NJ,3.58,3.22,4.01,4.04,4.07,3.91,4.61,4.6,4.12,3.64,3.79,3.86
Oahu,HI,2.31,1.99,2.02,0.63,0.62,0.26,0.51,0.56,0.7,1.84,2.42,3.24
Oakland,CA,3.97,3.34,2.87,1.34,0.58,0.14,0.01,0.03,0.22,0.91,2.11,3.22
Portland,OR,9.135000000000002,7.14,6.300000000000001,3.9800000000000004,2.885,2.085,0.745,0.97,2.395,4.76,9.03,9.530000000000001
Rhode Island,RI,3.918,3.4200000000000004,4.192,4.07,3.406,3.282,3.16,4.087999999999999,3.556,3.464,4.104000000000001,4.148
Salem,OR,9.54,7.44,6.84,4.59,3.59,2.5,0.78,1.01,2.57,5.17,9.51,9.93
San Diego,CA,2.74,2.79,2.52,1.07,0.34,0.06,0.2,0.32,0.28,0.6,1.19,2.18
San Francisco,CA,5.27,4.44,3.48,1.54,0.68,0.2,0.01,0.07,0.25,1.2,2.89,4.29
San Mateo,CA,6.2,5.25,4.33,1.92,0.79,0.21,0.02,0.06,0.26,1.34,3.16,5.11
Santa Clara,CA,4.84,4.2,3.71,1.66,0.66,0.14,0.01,0.05,0.24,1.03,2.47,4.11
Santa Cruz,CA,7.19,6.25,5.03,2.19,0.82,0.21,0.02,0.05,0.28,1.42,3.57,6.0
Seattle,WA,10.3,7.82,7.23,5.19,3.97,3.29,1.52,1.79,3.7,6.68,10.51,10.77
Twin Cities,MN,0.8728571428571429,0.8485714285714285,1.5657142857142858,2.302857142857143,3.66,4.444285714285714,3.7985714285714285,3.777142857142857,3.238571428571429,2.0785714285714283,1.56,0.8828571428571428
Washington,DC,3.14,2.73,3.59,3.36,3.79,3.71,4.07,4.39,3.63,3.05,2.9,3.24
