place,state,jan_avg_temp,feb_avg_temp,march_avg_temp,april_avg_temp,may_avg_temp,june_avg_temp,july_avg_temp,aug_avg_temp,sept_avg_temp,oct_avg_temp,nov_avg_temp,dec_avg_temp
Asheville,NC,36.6,37.6,48.8,51.8,59.4,68.1,71.0,71.5,64.5,58.7,42.8,46.3
Austin,TX,51.4,46.5,62.6,66.7,73.0,81.2,82.0,83.8,80.2,71.8,59.1,62.3
Boston,MA,31.2,30.1,40.9,49.0,59.2,71.7,70.4,74.6,66.9,57.9,43.2,38.0
Cambridge,MA,29.6,27.5,39.4,48.8,59.3,71.1,70.0,73.8,65.7,56.5,41.4,36.2
Chicago,IL,28.4,18.9,43.1,50.6,58.8,72.8,73.4,75.6,68.8,59.1,39.4,37.1
Columbus,OH,31.5,26.1,45.9,52.4,60.1,72.8,74.1,75.4,67.9,61.4,40.9,41.0
Dallas,TX,47.5,41.2,60.7,63.3,70.4,80.8,83.3,83.9,79.7,70.6,56.4,60.0
Denver,CO,33.4,27.2,40.0,45.7,55.9,71.1,75.6,73.7,67.5,53.2,46.1,38.9
Fort Lauderdale,FL,66.3,72.6,73.1,75.3,79.4,81.5,82.4,83.7,82.0,79.5,71.4,72.0
Fort Worth,TX,47.3,40.7,60.1,62.5,69.7,80.0,82.9,83.5,79.1,70.2,56.3,59.5
Hawaii,HI,71.21,71.22,71.86,73.13,74.56,75.91,76.97,77.71,77.31,77.07,74.87,72.53
Jersey City,NJ,34.8,33.1,44.8,53.5,62.2,74.0,76.9,77.6,70.4,62.4,45.6,42.9
Kauai,HI,78.0,78.0,78.0,79.0,81.0,83.0,84.0,85.0,85.0,83.0,81.0,79.0
Las Vegas,NV,45.8,49.4,51.9,65.3,72.8,86.3,88.7,86.6,80.1,62.2,59.7,45.9
Los Angeles,CA,51.4,53.1,52.0,61.1,65.2,74.6,79.0,77.0,73.3,62.1,61.5,48.8
Maui,HI,73.0,73.0,74.0,76.0,77.5,79.0,80.5,81.0,80.5,79.5,77.0,74.5
Nashville,TN,40.9,36.7,54.9,57.2,65.0,75.8,79.2,78.9,70.5,64.9,46.2,51.2
New Orleans,LA,54.0,52.8,65.2,67.7,74.5,81.0,82.5,83.5,78.1,74.0,60.0,64.8
New York City,NY,35.04,33.42,44.64,53.24000000000001,62.02,73.64000000000001,76.63999999999999,77.58,70.64000000000001,62.779999999999994,46.14,43.32000000000001
Newark,NJ,33.3,31.5,43.7,52.8,61.4,72.9,76.1,76.4,69.0,60.9,44.0,41.1
Oahu,HI,73.0,73.0,74.5,76.0,78.0,80.0,81.0,82.0,81.5,80.0,77.5,74.5
Oakland,CA,49.9,51.5,51.4,57.6,62.8,68.4,72.3,72.0,69.9,60.7,56.3,46.8
Portland,OR,42.099999999999994,38.9,43.3,50.7,55.349999999999994,65.69999999999999,68.3,67.5,61.5,50.45,46.55,38.0
Rhode Island,RI,31.74,31.339999999999996,40.260000000000005,48.82000000000001,58.080000000000005,69.67999999999999,71.49999999999999,73.86,66.86,58.92,43.300000000000004,39.06
Salem,OR,40.0,37.9,41.8,49.0,53.7,64.6,68.3,66.8,60.4,49.1,45.6,37.0
San Diego,CA,52.8,54.1,52.7,61.3,64.9,74.5,78.4,77.6,74.5,63.2,62.9,51.8
San Francisco,CA,51.7,53.2,52.4,54.8,58.3,61.2,61.7,63.7,63.3,59.7,57.0,49.1
San Mateo,CA,51.1,51.8,50.9,54.6,57.4,62.1,63.5,65.1,64.3,59.6,57.1,48.8
Santa Clara,CA,49.0,49.8,49.6,56.4,61.3,68.2,72.3,72.1,69.5,60.3,56.7,46.5
Santa Cruz,CA,51.2,51.6,50.6,54.7,58.8,64.2,66.2,67.2,66.2,60.2,57.9,48.7
Seattle,WA,38.2,34.7,40.2,47.1,50.8,61.7,64.3,63.1,56.9,46.9,42.7,33.7
Twin Cities,MN,20.714285714285715,10.457142857142856,39.1,45.885714285714286,58.15714285714285,74.14285714285714,73.45714285714287,72.05714285714285,64.0,54.15714285714285,35.614285714285714,22.785714285714285
Washington DC,MD,36.8,35.9,48.7,56.4,63.8,74.6,79.0,78.4,70.7,64.0,45.5,44.8
