place,state,jan_avg_temp,feb_avg_temp,mar_avg_temp,apr_avg_temp,may_avg_temp,jun_avg_temp,jul_avg_temp,aug_avg_temp,sep_avg_temp,oct_avg_temp,nov_avg_temp,dec_avg_temp,jan_avg_rain,feb_avg_rain,mar_avg_rain,apr_avg_rain,may_avg_rain,jun_avg_rain,jul_avg_rain,aug_avg_rain,sep_avg_rain,oct_avg_rain,nov_avg_rain,dec_avg_rain,winter_avg_temp,spring_avg_temp,summer_avg_temp,autumn_avg_temp,winter_avg_rain,spring_avg_rain,summer_avg_rain,autumn_avg_rain
Asheville,NC,36.6,37.6,48.8,51.8,59.4,68.1,71.0,71.5,64.5,58.7,42.8,46.3,3.75,3.69,4.69,3.76,4.03,4.37,4.88,4.89,3.63,3.53,3.11,3.69,40.166666666666664,53.333333333333336,70.2,55.333333333333336,3.7099999999999995,4.16,4.713333333333334,3.4233333333333333
Austin,TX,51.4,46.5,62.6,66.7,73.0,81.2,82.0,83.8,80.2,71.8,59.1,62.3,1.99,2.32,2.15,3.28,4.34,3.22,2.09,1.85,3.18,3.38,2.52,2.42,53.4,67.43333333333334,82.33333333333333,70.36666666666666,2.2433333333333336,3.2566666666666664,2.3866666666666667,3.026666666666667
Boston,MA,31.2,30.1,40.9,49.0,59.2,71.7,70.4,74.6,66.9,57.9,43.2,38.0,3.92,3.5,4.03,3.97,3.37,3.36,3.41,3.62,3.63,3.44,4.04,4.01,33.1,49.70000000000001,72.23333333333333,56.0,3.81,3.7900000000000005,3.4633333333333334,3.703333333333333
Cambridge,MA,29.6,27.5,39.4,48.8,59.3,71.1,70.0,73.8,65.7,56.5,41.4,36.2,3.6,3.26,3.9,3.82,3.4,3.51,3.55,3.51,3.66,3.37,4.0,3.85,31.100000000000005,49.166666666666664,71.63333333333333,54.53333333333333,3.5700000000000003,3.7066666666666666,3.5233333333333334,3.676666666666667
Chicago,IL,28.4,18.9,43.1,50.6,58.8,72.8,73.4,75.6,68.8,59.1,39.4,37.1,1.78,1.46,2.56,3.38,3.73,3.97,3.49,3.47,3.42,2.7,2.44,2.04,28.133333333333336,50.833333333333336,73.93333333333332,55.76666666666667,1.76,3.223333333333333,3.643333333333334,2.8533333333333335
Columbus,OH,31.5,26.1,45.9,52.4,60.1,72.8,74.1,75.4,67.9,61.4,40.9,41.0,2.89,2.29,3.43,3.62,3.89,3.97,4.05,3.52,2.88,2.34,2.74,2.74,32.86666666666667,52.800000000000004,74.1,56.73333333333334,2.64,3.646666666666667,3.8466666666666662,2.6533333333333333
Dallas,TX,47.5,41.2,60.7,63.3,70.4,80.8,83.3,83.9,79.7,70.6,56.4,60.0,2.16,2.5,2.87,4.07,4.98,3.46,2.34,2.1,2.93,3.5,2.84,2.7,49.56666666666666,64.8,82.66666666666667,68.9,2.4533333333333336,3.973333333333334,2.6333333333333333,3.09
Denver,CO,33.4,27.2,40.0,45.7,55.9,71.1,75.6,73.7,67.5,53.2,46.1,38.9,0.42,0.47,1.03,1.88,2.48,1.67,1.94,1.65,1.15,1.09,0.68,0.55,33.166666666666664,47.199999999999996,73.46666666666665,55.6,0.48,1.7966666666666669,1.7533333333333332,0.9733333333333335
Fort Lauderdale,FL,66.3,72.6,73.1,75.3,79.4,81.5,82.4,83.7,82.0,79.5,71.4,72.0,2.2,2.06,2.66,3.12,5.33,8.36,6.72,7.31,7.84,6.76,2.76,1.92,70.3,75.93333333333332,82.53333333333335,77.63333333333334,2.06,3.703333333333333,7.463333333333332,5.786666666666666
Fort Worth,TX,47.3,40.7,60.1,62.5,69.7,80.0,82.9,83.5,79.1,70.2,56.3,59.5,1.85,2.18,2.58,3.78,4.68,3.33,2.28,2.12,2.81,3.27,2.4,2.23,49.166666666666664,64.10000000000001,82.13333333333334,68.53333333333335,2.0866666666666664,3.6799999999999997,2.5766666666666667,2.8266666666666667
